20.9,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,62.1,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,20.74084507243732,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,61.084330983229144,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,21.600000381469727,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,72.0999984741211,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,20.700000762939453,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,59.5,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>
21.1,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,67.6,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,20.741476276846868,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,61.0957820684504,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,21.600000381469727,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,72.0999984741211,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,20.700000762939453,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,59.5,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>
21.4,10/12/2018 17:15:38,72.4,10/12/2018 17:15:38,7.133333206176758,10/12/2018 17:15:38,24.133333841959637,10/12/2018 17:15:38,21.399999618530273,10/12/2018 17:15:38,72.4000015258789,10/12/2018 17:15:38,21.399999618530273,10/12/2018 17:15:38,72.4000015258789,10/12/2018 17:15:38
21.3,10/12/2018 17:15:44,77.4,10/12/2018 17:15:44,10.674999713897705,10/12/2018 17:15:44,37.45000076293945,10/12/2018 17:15:44,21.399999618530273,10/12/2018 17:15:44,77.4000015258789,10/12/2018 17:15:44,21.299999237060547,10/12/2018 17:15:44,72.4000015258789,10/12/2018 17:15:44
21.4,10/12/2018 17:15:53,62.8,10/12/2018 17:15:53,12.819999694824219,10/12/2018 17:15:53,42.52000045776367,10/12/2018 17:15:53,21.399999618530273,10/12/2018 17:15:53,77.4000015258789,10/12/2018 17:15:53,21.299999237060547,10/12/2018 17:15:53,62.79999923706055,10/12/2018 17:15:53
21.1,10/12/2018 17:15:54,61.0,10/12/2018 17:15:54,14.199999809265137,10/12/2018 17:15:54,45.60000038146973,10/12/2018 17:15:54,21.399999618530273,10/12/2018 17:15:54,77.4000015258789,10/12/2018 17:15:54,21.100000381469727,10/12/2018 17:15:54,61.0,10/12/2018 17:15:54
21.0,10/12/2018 17:15:59,63.2,10/12/2018 17:15:59,15.171428407941546,10/12/2018 17:15:59,48.11428615025112,10/12/2018 17:15:59,21.399999618530273,10/12/2018 17:15:59,77.4000015258789,10/12/2018 17:15:59,21.0,10/12/2018 17:15:59,61.0,10/12/2018 17:15:59
21.3,10/12/2018 17:16:04,68.6,10/12/2018 17:16:04,15.937499761581421,10/12/2018 17:16:04,50.67500019073486,10/12/2018 17:16:04,21.399999618530273,10/12/2018 17:16:04,77.4000015258789,10/12/2018 17:16:04,21.0,10/12/2018 17:16:04,61.0,10/12/2018 17:16:04
20.8,10/12/2018 17:16:09,67.4,10/12/2018 17:16:09,16.4777774810791,10/12/2018 17:16:09,52.533333672417534,10/12/2018 17:16:09,21.399999618530273,10/12/2018 17:16:09,77.4000015258789,10/12/2018 17:16:09,20.799999237060547,10/12/2018 17:16:09,61.0,10/12/2018 17:16:09
20.9,10/12/2018 17:16:14,61.0,10/12/2018 17:16:14,16.91999969482422,10/12/2018 17:16:14,53.380000305175784,10/12/2018 17:16:14,21.399999618530273,10/12/2018 17:16:14,77.4000015258789,10/12/2018 17:16:14,20.799999237060547,10/12/2018 17:16:14,61.0,10/12/2018 17:16:14
21.1,10/12/2018 17:16:19,60.0,10/12/2018 17:16:19,17.29999975724654,10/12/2018 17:16:19,53.98181845925071,10/12/2018 17:16:19,21.399999618530273,10/12/2018 17:16:19,77.4000015258789,10/12/2018 17:16:19,20.799999237060547,10/12/2018 17:16:19,60.0,10/12/2018 17:16:19
20.7,10/12/2018 17:16:24,64.7,10/12/2018 17:16:24,17.583333174387615,10/12/2018 17:16:24,54.875,10/12/2018 17:16:24,21.399999618530273,10/12/2018 17:16:24,77.4000015258789,10/12/2018 17:16:24,20.700000762939453,10/12/2018 17:16:24,60.0,10/12/2018 17:16:24
21.3,10/12/2018 17:16:29,62.5,10/12/2018 17:16:29,17.869230563823994,10/12/2018 17:16:29,55.46153846153846,10/12/2018 17:16:29,21.399999618530273,10/12/2018 17:16:29,77.4000015258789,10/12/2018 17:16:29,20.700000762939453,10/12/2018 17:16:29,60.0,10/12/2018 17:16:29
21.3,10/12/2018 17:18:06,66.5,10/12/2018 17:18:06,1.5214285169328963,10/12/2018 17:18:06,4.75,10/12/2018 17:18:06,21.299999237060547,10/12/2018 17:18:06,66.5,10/12/2018 17:18:06,21.299999237060547,10/12/2018 17:18:06,66.5,10/12/2018 17:18:06
21.1,10/12/2018 17:18:11,71.9,10/12/2018 17:18:11,2.8266666412353514,10/12/2018 17:18:11,9.226666768391928,10/12/2018 17:18:11,21.299999237060547,10/12/2018 17:18:11,71.9000015258789,10/12/2018 17:18:11,21.100000381469727,10/12/2018 17:18:11,66.5,10/12/2018 17:18:11
21.2,10/12/2018 17:18:16,69.0,10/12/2018 17:18:16,3.975000023841858,10/12/2018 17:18:16,12.962500095367432,10/12/2018 17:18:16,21.299999237060547,10/12/2018 17:18:16,71.9000015258789,10/12/2018 17:18:16,21.100000381469727,10/12/2018 17:18:16,66.5,10/12/2018 17:18:16
21.1,10/12/2018 17:18:21,63.9,10/12/2018 17:18:21,4.982352986055262,10/12/2018 17:18:21,15.95882370892693,10/12/2018 17:18:21,21.299999237060547,10/12/2018 17:18:21,71.9000015258789,10/12/2018 17:18:21,21.100000381469727,10/12/2018 17:18:21,63.900001525878906,10/12/2018 17:18:21
21.6,10/12/2018 17:18:26,64.2,10/12/2018 17:18:26,5.905555619133843,10/12/2018 17:18:26,18.63888888888889,10/12/2018 17:18:26,21.600000381469727,10/12/2018 17:18:26,71.9000015258789,10/12/2018 17:18:26,21.100000381469727,10/12/2018 17:18:26,63.900001525878906,10/12/2018 17:18:26
21.6,10/12/2018 17:18:31,65.2,10/12/2018 17:18:31,6.731579027677837,10/12/2018 17:18:31,21.089473523591693,10/12/2018 17:18:31,21.600000381469727,10/12/2018 17:18:31,71.9000015258789,10/12/2018 17:18:31,21.100000381469727,10/12/2018 17:18:31,63.900001525878906,10/12/2018 17:18:31
21.4,10/12/2018 17:18:36,65.9,10/12/2018 17:18:36,7.465000057220459,10/12/2018 17:18:36,23.329999923706055,10/12/2018 17:18:36,21.600000381469727,10/12/2018 17:18:36,71.9000015258789,10/12/2018 17:18:36,21.100000381469727,10/12/2018 17:18:36,63.900001525878906,10/12/2018 17:18:36
21.5,10/12/2018 17:18:41,67.4,10/12/2018 17:18:41,8.133333387829008,10/12/2018 17:18:41,25.428571428571427,10/12/2018 17:18:41,21.600000381469727,10/12/2018 17:18:41,71.9000015258789,10/12/2018 17:18:41,21.100000381469727,10/12/2018 17:18:41,63.900001525878906,10/12/2018 17:18:41
21.5,10/12/2018 17:18:46,67.7,10/12/2018 17:18:46,8.74090914292769,10/12/2018 17:18:46,27.349999861283735,10/12/2018 17:18:46,21.600000381469727,10/12/2018 17:18:46,71.9000015258789,10/12/2018 17:18:46,21.100000381469727,10/12/2018 17:18:46,63.900001525878906,10/12/2018 17:18:46
21.8,10/12/2018 17:18:51,66.7,10/12/2018 17:18:51,9.308695668759553,10/12/2018 17:18:51,29.06086929984715,10/12/2018 17:18:51,21.799999237060547,10/12/2018 17:18:51,71.9000015258789,10/12/2018 17:18:51,21.100000381469727,10/12/2018 17:18:51,63.900001525878906,10/12/2018 17:18:51
21.5,10/12/2018 17:18:56,62.0,10/12/2018 17:18:56,9.81666668256124,10/12/2018 17:18:56,30.433333079020183,10/12/2018 17:18:56,21.799999237060547,10/12/2018 17:18:56,71.9000015258789,10/12/2018 17:18:56,21.100000381469727,10/12/2018 17:18:56,62.0,10/12/2018 17:18:56
21.6,10/12/2018 17:19:01,63.2,10/12/2018 17:19:01,10.288000030517578,10/12/2018 17:19:01,31.743999786376953,10/12/2018 17:19:01,21.799999237060547,10/12/2018 17:19:01,71.9000015258789,10/12/2018 17:19:01,21.100000381469727,10/12/2018 17:19:01,62.0,10/12/2018 17:19:01
